biogeographic_group	activity_score	n_activity_score	frequencies	in_cpic	notes	n_subjects_genotyped
afr	CYP2C9 Activity Score 0.0	40	0.00037075485688862526			53944
afr	CYP2C9 Activity Score 0.5	302	0.0027991991695091208			53944
afr	CYP2C9 Activity Score 1.0	2821	0.026147486282070295			53944
afr	CYP2C9 Activity Score 1.5	10078	0.09341168619308914			53944
afr	CYP2C9 Activity Score 2.0	40349	0.3739896930149785			53944
afr	CYP2C9 Activity Score n/a	354	0.0032811804834643335			53944
amr	CYP2C9 Activity Score 0.0	91	0.0011141583818992115			40838
amr	CYP2C9 Activity Score 0.5	346	0.0042362505509574416			40838
amr	CYP2C9 Activity Score 1.0	3633	0.044480630785053134			40838
amr	CYP2C9 Activity Score 1.5	6713	0.08219060678779568			40838
amr	CYP2C9 Activity Score 2.0	29924	0.3663744551643078			40838
amr	CYP2C9 Activity Score n/a	131	0.001603898329986777			40838
eas	CYP2C9 Activity Score 0.0	10	0.000929195316855603			5381
eas	CYP2C9 Activity Score 0.5	0	0.0			5381
eas	CYP2C9 Activity Score 1.0	343	0.03187139936814719			5381
eas	CYP2C9 Activity Score 1.5	59	0.005482252369448058			5381
eas	CYP2C9 Activity Score 2.0	4927	0.45781453261475563			5381
eas	CYP2C9 Activity Score n/a	42	0.0039026203307935326			5381
eur	CYP2C9 Activity Score 0.0	608	0.002470098803952158			123072
eur	CYP2C9 Activity Score 0.5	2237	0.009088176027041081			123072
eur	CYP2C9 Activity Score 1.0	15592	0.06334503380135205			123072
eur	CYP2C9 Activity Score 1.5	26382	0.10718116224648985			123072
eur	CYP2C9 Activity Score 2.0	78063	0.3171436232449298			123072
eur	CYP2C9 Activity Score n/a	190	0.0007719058762350494			123072
mid	CYP2C9 Activity Score 0.0	1	0.000946969696969697			528
mid	CYP2C9 Activity Score 0.5	15	0.014204545454545454			528
mid	CYP2C9 Activity Score 1.0	69	0.06534090909090909			528
mid	CYP2C9 Activity Score 1.5	102	0.09659090909090909			528
mid	CYP2C9 Activity Score 2.0	340	0.32196969696969696			528
mid	CYP2C9 Activity Score n/a	1	0.000946969696969697			528
oth	CYP2C9 Activity Score 0.0	100	0.0025921509668723106			19289
oth	CYP2C9 Activity Score 0.5	288	0.007465394784592255			19289
oth	CYP2C9 Activity Score 1.0	2316	0.06003421639276271			19289
oth	CYP2C9 Activity Score 1.5	3881	0.10060137902431437			19289
oth	CYP2C9 Activity Score 2.0	12664	0.32826999844470944			19289
oth	CYP2C9 Activity Score n/a	40	0.0010368603867489242			19289
sas	CYP2C9 Activity Score 0.0	34	0.007258753202391118			2342
sas	CYP2C9 Activity Score 0.5	30	0.0064047822374039285			2342
sas	CYP2C9 Activity Score 1.0	404	0.08625106746370624			2342
sas	CYP2C9 Activity Score 1.5	268	0.05721605465414176			2342
sas	CYP2C9 Activity Score 2.0	1588	0.3390264730999146			2342
sas	CYP2C9 Activity Score n/a	18	0.003842869342442357			2342
