biogeographic_group	allele	n_haplotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	*1	58006	0.5376501557170399			53944.0
afr	*2	19068	0.17673884027880765			53944.0
afr	*3	3288	0.030476049236244994			53944.0
afr	*4	6743	0.0625			53944.0
afr	*5	15768	0.14615156458549608			53944.0
afr	*6	3591	0.03328451727717633			53944.0
afr	*7	1396	0.01293934450541302			53944.0
afr	Indeterminate	28	0.00025952839982203765			53944.0
amr	*1	53467	0.6546231451099466			40838.0
amr	*2	1559	0.019087614476712866			40838.0
amr	*3	9804	0.12003526127626231			40838.0
amr	*4	10171	0.12452862529996572			40838.0
amr	*5	3445	0.04217885302904158			40838.0
amr	*6	3107	0.03804055046770165			40838.0
amr	*7	121	0.0014814633429648856			40838.0
amr	Indeterminate	2	2.4486997404378275e-05			40838.0
eas	*1	8305	0.7716967106485784			5381.0
eas	*2	8	0.0007433562534844825			5381.0
eas	*3	1562	0.1451403084928452			5381.0
eas	*4	873	0.08111875116149414			5381.0
eas	*5	8	0.0007433562534844825			5381.0
eas	*6	4	0.00037167812674224123			5381.0
eas	*7	0	0.0			5381.0
eas	Indeterminate	2	0.00018583906337112061			5381.0
eur	*1	144394	0.5866240899635985			123072.0
eur	*2	391	0.0015885010400416017			123072.0
eur	*3	30480	0.12382995319812792			123072.0
eur	*4	41539	0.1687589378575143			123072.0
eur	*5	14808	0.060159906396255854			123072.0
eur	*6	14497	0.058896418356734266			123072.0
eur	*7	7	2.843863754550182e-05			123072.0
eur	Indeterminate	28	0.00011375455018200728			123072.0
mid	*1	561	0.53125			528.0
mid	*2	22	0.020833333333333332			528.0
mid	*3	185	0.17518939393939395			528.0
mid	*4	213	0.20170454545454544			528.0
mid	*5	39	0.036931818181818184			528.0
mid	*6	34	0.032196969696969696			528.0
mid	*7	2	0.001893939393939394			528.0
mid	Indeterminate	0	0.0			528.0
oth	*1	22033	0.5711286225309762			19289.0
oth	*2	1204	0.03120949764114262			19289.0
oth	*3	4743	0.12294572035875369			19289.0
oth	*4	6583	0.1706412981492042			19289.0
oth	*5	2290	0.05936025714137591			19289.0
oth	*6	1626	0.04214837472134377			19289.0
oth	*7	97	0.0025143864378661413			19289.0
oth	Indeterminate	2	5.1843019337446214e-05			19289.0
sas	*1	2613	0.5578565328778822			2342.0
sas	*2	23	0.004910333048676345			2342.0
sas	*3	1150	0.24551665243381726			2342.0
sas	*4	728	0.15542271562766866			2342.0
sas	*5	147	0.03138343296327925			2342.0
sas	*6	21	0.0044833475661827495			2342.0
sas	*7	0	0.0			2342.0
sas	Indeterminate	2	0.0004269854824935952			2342.0
