biogeographic_group	allele	n_haplotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	*1	107385	0.9953377576746255			53944.0
afr	*10	1	9.26887142221563e-06			53944.0
afr	*13	0	0.0			53944.0
afr	*14	2	1.853774284443126e-05			53944.0
afr	*15	99	0.0009176182707993475			53944.0
afr	*17	1	9.26887142221563e-06			53944.0
afr	*18	0	0.0			53944.0
afr	*19	0	0.0			53944.0
afr	*2	54	0.000500519056799644			53944.0
afr	*20	0	0.0			53944.0
afr	*3	60	0.0005561322853329378			53944.0
afr	*4	33	0.0003058727569331158			53944.0
afr	*5	2	1.853774284443126e-05			53944.0
afr	*6	224	0.002076227198576301			53944.0
afr	*7	0	0.0			53944.0
afr	*9	27	0.000250259528399822			53944.0
afr	Indeterminate	0	0.0			53944.0
amr	*1	77086	0.9438023409569518			40838.0
amr	*10	0	0.0			40838.0
amr	*13	0	0.0			40838.0
amr	*14	0	0.0			40838.0
amr	*15	25	0.0003060874675547284			40838.0
amr	*17	0	0.0			40838.0
amr	*18	0	0.0			40838.0
amr	*19	0	0.0			40838.0
amr	*2	3072	0.03761202801312503			40838.0
amr	*20	0	0.0			40838.0
amr	*3	294	0.0035995886184436066			40838.0
amr	*4	1022	0.012512855673637299			40838.0
amr	*5	3	3.673049610656741e-05			40838.0
amr	*6	111	0.0013590283559429942			40838.0
amr	*7	0	0.0			40838.0
amr	*9	63	0.0007713404182379157			40838.0
amr	Indeterminate	0	0.0			40838.0
eas	*1	9528	0.8853372979000186			5381.0
eas	*10	1	9.291953168556031e-05			5381.0
eas	*13	1	9.291953168556031e-05			5381.0
eas	*14	0	0.0			5381.0
eas	*15	0	0.0			5381.0
eas	*17	0	0.0			5381.0
eas	*18	0	0.0			5381.0
eas	*19	0	0.0			5381.0
eas	*2	387	0.035959858762311836			5381.0
eas	*20	0	0.0			5381.0
eas	*3	625	0.05807470730347519			5381.0
eas	*4	9	0.0008362757851700427			5381.0
eas	*5	90	0.008362757851700427			5381.0
eas	*6	116	0.010778665675524995			5381.0
eas	*7	3	0.0002787585950566809			5381.0
eas	*9	0	0.0			5381.0
eas	Indeterminate	2	0.00018583906337112061			5381.0
eur	*1	244152	0.9919071762870515			123072.0
eur	*10	5	2.03133125325013e-05			123072.0
eur	*13	0	0.0			123072.0
eur	*14	22	8.937857514300571e-05			123072.0
eur	*15	2	8.125325013000521e-06			123072.0
eur	*17	0	0.0			123072.0
eur	*18	2	8.125325013000521e-06			123072.0
eur	*19	0	0.0			123072.0
eur	*2	16	6.500260010400417e-05			123072.0
eur	*20	7	2.843863754550182e-05			123072.0
eur	*3	738	0.002998244929797192			123072.0
eur	*4	13	5.281461258450338e-05			123072.0
eur	*5	6	2.437597503900156e-05			123072.0
eur	*6	682	0.0027707358294331774			123072.0
eur	*7	0	0.0			123072.0
eur	*9	499	0.00202726859074363			123072.0
eur	Indeterminate	0	0.0			123072.0
mid	*1	1044	0.9886363636363636			528.0
mid	*10	0	0.0			528.0
mid	*13	0	0.0			528.0
mid	*14	0	0.0			528.0
mid	*15	0	0.0			528.0
mid	*17	0	0.0			528.0
mid	*18	0	0.0			528.0
mid	*19	0	0.0			528.0
mid	*2	0	0.0			528.0
mid	*20	0	0.0			528.0
mid	*3	10	0.00946969696969697			528.0
mid	*4	0	0.0			528.0
mid	*5	0	0.0			528.0
mid	*6	1	0.000946969696969697			528.0
mid	*7	0	0.0			528.0
mid	*9	1	0.000946969696969697			528.0
mid	Indeterminate	0	0.0			528.0
oth	*1	38019	0.9855098760951838			19289.0
oth	*10	0	0.0			19289.0
oth	*13	0	0.0			19289.0
oth	*14	0	0.0			19289.0
oth	*15	7	0.00018145056768106174			19289.0
oth	*17	0	0.0			19289.0
oth	*18	0	0.0			19289.0
oth	*19	1	2.5921509668723107e-05			19289.0
oth	*2	144	0.0037326973922961275			19289.0
oth	*20	13	0.00033697962569340036			19289.0
oth	*3	225	0.0058323396754626985			19289.0
oth	*4	46	0.0011923894447612628			19289.0
oth	*5	15	0.0003888226450308466			19289.0
oth	*6	84	0.0021774068121727407			19289.0
oth	*7	0	0.0			19289.0
oth	*9	24	0.0006221162320493546			19289.0
oth	Indeterminate	0	0.0			19289.0
sas	*1	4382	0.9355251921434671			2342.0
sas	*10	0	0.0			2342.0
sas	*13	0	0.0			2342.0
sas	*14	0	0.0			2342.0
sas	*15	0	0.0			2342.0
sas	*17	0	0.0			2342.0
sas	*18	0	0.0			2342.0
sas	*19	0	0.0			2342.0
sas	*2	3	0.0006404782237403928			2342.0
sas	*20	0	0.0			2342.0
sas	*3	289	0.06169940222032451			2342.0
sas	*4	1	0.0002134927412467976			2342.0
sas	*5	1	0.0002134927412467976			2342.0
sas	*6	6	0.0012809564474807857			2342.0
sas	*7	0	0.0			2342.0
sas	*9	2	0.0004269854824935952			2342.0
sas	Indeterminate	0	0.0			2342.0
