biogeographic_group	allele	n_haplotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	*1	20929	0.19398820999555094			53944.0
afr	*10	1	9.26887142221563e-06			53944.0
afr	*14	5085	0.047132211181966484			53944.0
afr	*15	2854	0.02645335903900341			53944.0
afr	*16	0	0.0			53944.0
afr	*19	49	0.00045417469968856594			53944.0
afr	*20	7008	0.06495625092688714			53944.0
afr	*23	1	9.26887142221563e-06			53944.0
afr	*24	176	0.0016313213703099511			53944.0
afr	*25	1	9.26887142221563e-06			53944.0
afr	*26	0	0.0			53944.0
afr	*27	5031	0.04663169212516684			53944.0
afr	*28	277	0.00256747738395373			53944.0
afr	*29	0	0.0			53944.0
afr	*30	1292	0.011975381877502595			53944.0
afr	*31	3851	0.03569442384695239			53944.0
afr	*32	3	2.7806614266646894e-05			53944.0
afr	*34	1	9.26887142221563e-06			53944.0
afr	*36	1	9.26887142221563e-06			53944.0
afr	*37	52401	0.48569813139552126			53944.0
afr	*38	0	0.0			53944.0
afr	*39	6	5.561322853329379e-05			53944.0
afr	*4	108	0.001001038113599288			53944.0
afr	*40	0	0.0			53944.0
afr	*41	3367	0.03120829007860003			53944.0
afr	*42	104	0.0009639626279104257			53944.0
afr	*43	1311	0.012151490434524691			53944.0
afr	*44	232	0.002150378169954026			53944.0
afr	*47	0	0.0			53944.0
afr	*5	179	0.001659127984576598			53944.0
afr	*6	0	0.0			53944.0
afr	*9	8	7.415097137772504e-05			53944.0
afr	Indeterminate	3612	0.03347916357704286			53944.0
amr	*1	42776	0.5237279004848425			40838.0
amr	*10	0	0.0			40838.0
amr	*14	7263	0.08892453107399971			40838.0
amr	*15	8657	0.10599196826485137			40838.0
amr	*16	1	1.2243498702189138e-05			40838.0
amr	*19	27	0.00033057446495910674			40838.0
amr	*20	3136	0.03839561193006513			40838.0
amr	*23	0	0.0			40838.0
amr	*24	9	0.00011019148831970224			40838.0
amr	*25	1	1.2243498702189138e-05			40838.0
amr	*26	6	7.346099221313482e-05			40838.0
amr	*27	318	0.003893432587296146			40838.0
amr	*28	8	9.79479896175131e-05			40838.0
amr	*29	1	1.2243498702189138e-05			40838.0
amr	*30	62	0.0007590969195357265			40838.0
amr	*31	220	0.0026935697144816104			40838.0
amr	*32	1	1.2243498702189138e-05			40838.0
amr	*34	9	0.00011019148831970224			40838.0
amr	*36	26	0.0003183309662569176			40838.0
amr	*37	16951	0.20753954650080808			40838.0
amr	*38	0	0.0			40838.0
amr	*39	14	0.00017140898183064793			40838.0
amr	*4	25	0.0003060874675547284			40838.0
amr	*40	6	7.346099221313482e-05			40838.0
amr	*41	291	0.003562858122337039			40838.0
amr	*42	2	2.4486997404378275e-05			40838.0
amr	*43	119	0.0014569763455605073			40838.0
amr	*44	17	0.00020813947793721534			40838.0
amr	*47	0	0.0			40838.0
amr	*5	999	0.012231255203486948			40838.0
amr	*6	7	8.570449091532397e-05			40838.0
amr	*9	0	0.0			40838.0
amr	Indeterminate	724	0.008864293060384935			40838.0
eas	*1	2584	0.24010406987548782			5381.0
eas	*10	0	0.0			5381.0
eas	*14	15	0.0013937929752834046			5381.0
eas	*15	1363	0.1266493216874187			5381.0
eas	*16	63	0.005853930496190299			5381.0
eas	*19	3	0.0002787585950566809			5381.0
eas	*20	26	0.0024159078238245677			5381.0
eas	*23	0	0.0			5381.0
eas	*24	7	0.0006504367217989222			5381.0
eas	*25	0	0.0			5381.0
eas	*26	0	0.0			5381.0
eas	*27	0	0.0			5381.0
eas	*28	0	0.0			5381.0
eas	*29	13	0.0012079539119122839			5381.0
eas	*30	0	0.0			5381.0
eas	*31	0	0.0			5381.0
eas	*32	0	0.0			5381.0
eas	*34	0	0.0			5381.0
eas	*36	0	0.0			5381.0
eas	*37	6647	0.6176361271139194			5381.0
eas	*38	0	0.0			5381.0
eas	*39	24	0.002230068760453447			5381.0
eas	*4	0	0.0			5381.0
eas	*40	0	0.0			5381.0
eas	*41	0	0.0			5381.0
eas	*42	0	0.0			5381.0
eas	*43	0	0.0			5381.0
eas	*44	0	0.0			5381.0
eas	*47	11	0.0010221148485411633			5381.0
eas	*5	2	0.00018583906337112061			5381.0
eas	*6	0	0.0			5381.0
eas	*9	0	0.0			5381.0
eas	Indeterminate	4	0.00037167812674224123			5381.0
eur	*1	139068	0.5649863494539782			123072.0
eur	*10	0	0.0			123072.0
eur	*14	37638	0.1529104914196568			123072.0
eur	*15	32032	0.13013520540821633			123072.0
eur	*16	2	8.125325013000521e-06			123072.0
eur	*19	227	0.000922224388975559			123072.0
eur	*20	12391	0.05034045111804472			123072.0
eur	*23	8	3.2501300052002083e-05			123072.0
eur	*24	2	8.125325013000521e-06			123072.0
eur	*25	0	0.0			123072.0
eur	*26	53	0.00021532111284451377			123072.0
eur	*27	51	0.00020719578783151327			123072.0
eur	*28	1	4.0626625065002604e-06			123072.0
eur	*29	1	4.0626625065002604e-06			123072.0
eur	*30	0	0.0			123072.0
eur	*31	14	5.687727509100364e-05			123072.0
eur	*32	0	0.0			123072.0
eur	*34	20	8.12532501300052e-05			123072.0
eur	*36	0	0.0			123072.0
eur	*37	15187	0.061699655486219446			123072.0
eur	*38	2	8.125325013000521e-06			123072.0
eur	*39	2	8.125325013000521e-06			123072.0
eur	*4	8	3.2501300052002083e-05			123072.0
eur	*40	73	0.00029657436297451895			123072.0
eur	*41	36	0.00014625585023400937			123072.0
eur	*42	0	0.0			123072.0
eur	*43	6	2.437597503900156e-05			123072.0
eur	*44	0	0.0			123072.0
eur	*47	0	0.0			123072.0
eur	*5	5569	0.02262496749869995			123072.0
eur	*6	1	4.0626625065002604e-06			123072.0
eur	*9	0	0.0			123072.0
eur	Indeterminate	3752	0.015243109724388975			123072.0
mid	*1	462	0.4375			528.0
mid	*10	0	0.0			528.0
mid	*14	136	0.12878787878787878			528.0
mid	*15	192	0.18181818181818182			528.0
mid	*16	0	0.0			528.0
mid	*19	2	0.001893939393939394			528.0
mid	*20	70	0.06628787878787878			528.0
mid	*23	0	0.0			528.0
mid	*24	1	0.000946969696969697			528.0
mid	*25	0	0.0			528.0
mid	*26	4	0.003787878787878788			528.0
mid	*27	3	0.002840909090909091			528.0
mid	*28	1	0.000946969696969697			528.0
mid	*29	0	0.0			528.0
mid	*30	1	0.000946969696969697			528.0
mid	*31	0	0.0			528.0
mid	*32	0	0.0			528.0
mid	*34	0	0.0			528.0
mid	*36	0	0.0			528.0
mid	*37	131	0.1240530303030303			528.0
mid	*38	0	0.0			528.0
mid	*39	0	0.0			528.0
mid	*4	0	0.0			528.0
mid	*40	0	0.0			528.0
mid	*41	3	0.002840909090909091			528.0
mid	*42	1	0.000946969696969697			528.0
mid	*43	0	0.0			528.0
mid	*44	0	0.0			528.0
mid	*47	0	0.0			528.0
mid	*5	15	0.014204545454545454			528.0
mid	*6	0	0.0			528.0
mid	*9	0	0.0			528.0
mid	Indeterminate	34	0.032196969696969696			528.0
oth	*1	17547	0.4548447301570844			19289.0
oth	*10	0	0.0			19289.0
oth	*14	5226	0.13546580952874696			19289.0
oth	*15	4524	0.11726890974130333			19289.0
oth	*16	14	0.0003629011353621235			19289.0
oth	*19	56	0.001451604541448494			19289.0
oth	*20	1950	0.05054694385401006			19289.0
oth	*23	1	2.5921509668723107e-05			19289.0
oth	*24	20	0.0005184301933744621			19289.0
oth	*25	0	0.0			19289.0
oth	*26	5	0.00012960754834361553			19289.0
oth	*27	250	0.006480377417180777			19289.0
oth	*28	12	0.0003110581160246773			19289.0
oth	*29	0	0.0			19289.0
oth	*30	62	0.0016071335994608325			19289.0
oth	*31	181	0.0046917932500388825			19289.0
oth	*32	1	2.5921509668723107e-05			19289.0
oth	*34	21	0.0005443517030431852			19289.0
oth	*36	1	2.5921509668723107e-05			19289.0
oth	*37	6563	0.17012286795582976			19289.0
oth	*38	0	0.0			19289.0
oth	*39	5	0.00012960754834361553			19289.0
oth	*4	14	0.0003629011353621235			19289.0
oth	*40	9	0.00023329358701850797			19289.0
oth	*41	206	0.00533983099175696			19289.0
oth	*42	7	0.00018145056768106174			19289.0
oth	*43	123	0.003188345689252942			19289.0
oth	*44	22	0.0005702732127119084			19289.0
oth	*47	4	0.00010368603867489243			19289.0
oth	*5	822	0.021307480947690395			19289.0
oth	*6	1	2.5921509668723107e-05			19289.0
oth	*9	3	7.776452900616932e-05			19289.0
oth	Indeterminate	928	0.024055160972575044			19289.0
sas	*1	2232	0.47651579846285225			2342.0
sas	*10	0	0.0			2342.0
sas	*14	172	0.036720751494449186			2342.0
sas	*15	215	0.045900939368061486			2342.0
sas	*16	1	0.0002134927412467976			2342.0
sas	*19	77	0.016438941076003417			2342.0
sas	*20	123	0.026259607173356105			2342.0
sas	*23	0	0.0			2342.0
sas	*24	154	0.032877882152006835			2342.0
sas	*25	0	0.0			2342.0
sas	*26	1	0.0002134927412467976			2342.0
sas	*27	1	0.0002134927412467976			2342.0
sas	*28	0	0.0			2342.0
sas	*29	0	0.0			2342.0
sas	*30	0	0.0			2342.0
sas	*31	1	0.0002134927412467976			2342.0
sas	*32	5	0.001067463706233988			2342.0
sas	*34	0	0.0			2342.0
sas	*36	0	0.0			2342.0
sas	*37	1646	0.3514090520922289			2342.0
sas	*38	0	0.0			2342.0
sas	*39	0	0.0			2342.0
sas	*4	0	0.0			2342.0
sas	*40	2	0.0004269854824935952			2342.0
sas	*41	0	0.0			2342.0
sas	*42	0	0.0			2342.0
sas	*43	0	0.0			2342.0
sas	*44	0	0.0			2342.0
sas	*47	0	0.0			2342.0
sas	*5	14	0.0029888983774551663			2342.0
sas	*6	0	0.0			2342.0
sas	*9	0	0.0			2342.0
sas	Indeterminate	40	0.008539709649871904			2342.0
