biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	2C_CLUSTER Indeterminate	5	4.634435711107816e-05			53944
afr	2C_CLUSTER Variant Absent	30081	0.2788169212516684			53944
afr	2C_CLUSTER Variant Present	23858	0.22113673439122053			53944
amr	2C_CLUSTER Indeterminate	1	1.2243498702189138e-05			40838
amr	2C_CLUSTER Variant Absent	30973	0.3792178853029042			40838
amr	2C_CLUSTER Variant Present	9864	0.12076987119839365			40838
eas	2C_CLUSTER Indeterminate	1	9.291953168556031e-05			5381
eas	2C_CLUSTER Variant Absent	2584	0.24010406987548782			5381
eas	2C_CLUSTER Variant Present	2796	0.2598030105928266			5381
eur	2C_CLUSTER Indeterminate	8	3.2501300052002083e-05			123072
eur	2C_CLUSTER Variant Absent	88844	0.3609431877275091			123072
eur	2C_CLUSTER Variant Present	34220	0.1390243109724389			123072
mid	2C_CLUSTER Indeterminate	0	0.0			528
mid	2C_CLUSTER Variant Absent	436	0.4128787878787879			528
mid	2C_CLUSTER Variant Present	92	0.08712121212121213			528
oth	2C_CLUSTER Indeterminate	3	7.776452900616932e-05			19289
oth	2C_CLUSTER Variant Absent	13477	0.3493441858053813			19289
oth	2C_CLUSTER Variant Present	5809	0.15057804966561253			19289
sas	2C_CLUSTER Indeterminate	0	0.0			2342
sas	2C_CLUSTER Variant Absent	1020	0.21776259607173357			2342
sas	2C_CLUSTER Variant Present	1322	0.28223740392826646			2342
