biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	ABCG2 Decreased Function	2965	0.027482203766869346			53944
afr	ABCG2 Indeterminate	3	2.7806614266646894e-05			53944
afr	ABCG2 Normal Function	50926	0.47202654604775324			53944
afr	ABCG2 Poor Function	50	0.00046344357111078157			53944
amr	ABCG2 Decreased Function	11031	0.13505803418384837			40838
amr	ABCG2 Indeterminate	2	2.4486997404378275e-05			40838
amr	ABCG2 Normal Function	28440	0.3482051030902591			40838
amr	ABCG2 Poor Function	1365	0.016712375728488174			40838
eas	ABCG2 Decreased Function	2328	0.2163166697639844			5381
eas	ABCG2 Indeterminate	0	0.0			5381
eas	ABCG2 Normal Function	2447	0.22737409403456607			5381
eas	ABCG2 Poor Function	606	0.05630923620144954			5381
eur	ABCG2 Decreased Function	23957	0.09732920566822673			123072
eur	ABCG2 Indeterminate	7	2.843863754550182e-05			123072
eur	ABCG2 Normal Function	97577	0.39642241939677586			123072
eur	ABCG2 Poor Function	1531	0.006219936297451898			123072
mid	ABCG2 Decreased Function	53	0.050189393939393936			528
mid	ABCG2 Indeterminate	0	0.0			528
mid	ABCG2 Normal Function	474	0.44886363636363635			528
mid	ABCG2 Poor Function	1	0.000946969696969697			528
oth	ABCG2 Decreased Function	3067	0.07950127015397376			19289
oth	ABCG2 Indeterminate	1	2.5921509668723107e-05			19289
oth	ABCG2 Normal Function	16046	0.41593654414433096			19289
oth	ABCG2 Poor Function	175	0.004536264192026544			19289
sas	ABCG2 Decreased Function	445	0.09500426985482494			2342
sas	ABCG2 Indeterminate	0	0.0			2342
sas	ABCG2 Normal Function	1875	0.40029888983774553			2342
sas	ABCG2 Poor Function	22	0.004696840307429547			2342
