biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	CYP2C9 Indeterminate	354	0.0032811804834643335			53944
afr	CYP2C9 Intermediate Metabolizer	12899	0.11955917247515943			53944
afr	CYP2C9 Normal Metabolizer	40349	0.3739896930149785			53944
afr	CYP2C9 Poor Metabolizer	342	0.003169954026397746			53944
amr	CYP2C9 Indeterminate	131	0.001603898329986777			40838
amr	CYP2C9 Intermediate Metabolizer	10346	0.12667123757284882			40838
amr	CYP2C9 Normal Metabolizer	29924	0.3663744551643078			40838
amr	CYP2C9 Poor Metabolizer	437	0.005350408932856653			40838
eas	CYP2C9 Indeterminate	42	0.0039026203307935326			5381
eas	CYP2C9 Intermediate Metabolizer	402	0.03735365173759524			5381
eas	CYP2C9 Normal Metabolizer	4927	0.45781453261475563			5381
eas	CYP2C9 Poor Metabolizer	10	0.000929195316855603			5381
eur	CYP2C9 Indeterminate	190	0.0007719058762350494			123072
eur	CYP2C9 Intermediate Metabolizer	41974	0.17052619604784192			123072
eur	CYP2C9 Normal Metabolizer	78063	0.3171436232449298			123072
eur	CYP2C9 Poor Metabolizer	2845	0.01155827483099324			123072
mid	CYP2C9 Indeterminate	1	0.000946969696969697			528
mid	CYP2C9 Intermediate Metabolizer	171	0.16193181818181818			528
mid	CYP2C9 Normal Metabolizer	340	0.32196969696969696			528
mid	CYP2C9 Poor Metabolizer	16	0.015151515151515152			528
oth	CYP2C9 Indeterminate	40	0.0010368603867489242			19289
oth	CYP2C9 Intermediate Metabolizer	6197	0.1606355954170771			19289
oth	CYP2C9 Normal Metabolizer	12664	0.32826999844470944			19289
oth	CYP2C9 Poor Metabolizer	388	0.010057545751464565			19289
sas	CYP2C9 Indeterminate	18	0.003842869342442357			2342
sas	CYP2C9 Intermediate Metabolizer	672	0.14346712211784798			2342
sas	CYP2C9 Normal Metabolizer	1588	0.3390264730999146			2342
sas	CYP2C9 Poor Metabolizer	64	0.013663535439795047			2342
