biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	CYP4F2 Variant Absent	44408	0.41161204211775176			53944
afr	CYP4F2 Variant Present	9536	0.08838795788224826			53944
amr	CYP4F2 Variant Absent	23393	0.2864121651403105			40838
amr	CYP4F2 Variant Present	17445	0.21358783485968952			40838
eas	CYP4F2 Variant Absent	3231	0.30022300687604536			5381
eas	CYP4F2 Variant Present	2150	0.19977699312395467			5381
eur	CYP4F2 Variant Absent	61680	0.250585023400936			123072
eur	CYP4F2 Variant Present	61392	0.24941497659906398			123072
mid	CYP4F2 Variant Absent	199	0.1884469696969697			528
mid	CYP4F2 Variant Present	329	0.3115530303030303			528
oth	CYP4F2 Variant Absent	9750	0.2527347192700503			19289
oth	CYP4F2 Variant Present	9539	0.24726528072994972			19289
sas	CYP4F2 Variant Absent	836	0.1784799316823228			2342
sas	CYP4F2 Variant Present	1506	0.3215200683176772			2342
