biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	DPYD Intermediate Metabolizer	3028	0.02806614266646893			53944
afr	DPYD Normal Metabolizer	50916	0.47193385733353105			53944
afr	DPYD Poor Metabolizer	0	0.0			53944
amr	DPYD Intermediate Metabolizer	1025	0.012549586169743866			40838
amr	DPYD Normal Metabolizer	39811	0.48742592683285174			40838
amr	DPYD Poor Metabolizer	2	2.4486997404378275e-05			40838
eas	DPYD Intermediate Metabolizer	27	0.002508827355510128			5381
eas	DPYD Normal Metabolizer	5354	0.4974911726444899			5381
eas	DPYD Poor Metabolizer	0	0.0			5381
eur	DPYD Intermediate Metabolizer	7686	0.031225624024961			123072
eur	DPYD Normal Metabolizer	115340	0.46858749349974			123072
eur	DPYD Poor Metabolizer	46	0.00018688247529901196			123072
mid	DPYD Intermediate Metabolizer	14	0.013257575757575758			528
mid	DPYD Normal Metabolizer	514	0.48674242424242425			528
mid	DPYD Poor Metabolizer	0	0.0			528
oth	DPYD Intermediate Metabolizer	732	0.018974545077505314			19289
oth	DPYD Normal Metabolizer	18555	0.48097361190315724			19289
oth	DPYD Poor Metabolizer	2	5.1843019337446214e-05			19289
sas	DPYD Intermediate Metabolizer	129	0.027540563620836893			2342
sas	DPYD Normal Metabolizer	2210	0.47181895815542274			2342
sas	DPYD Poor Metabolizer	3	0.0006404782237403928			2342
