biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	G6PD Deficient	98	0.0009083493993771319			53944
afr	G6PD Indeterminate	4	3.707548568886252e-05			53944
afr	G6PD Normal	862	0.007989767165949874			53944
afr	G6PD Variable	102	0.0009454248850659944			53944
amr	G6PD Deficient	0	0.0			40838
amr	G6PD Indeterminate	0	0.0			40838
amr	G6PD Normal	410	0.005019834467897546			40838
amr	G6PD Variable	10	0.00012243498702189137			40838
eas	G6PD Deficient	0	0.0			5381
eas	G6PD Indeterminate	0	0.0			5381
eas	G6PD Normal	31	0.0028805054822523693			5381
eas	G6PD Variable	2	0.00018583906337112061			5381
eur	G6PD Deficient	3	1.218798751950078e-05			123072
eur	G6PD Indeterminate	0	0.0			123072
eur	G6PD Normal	1108	0.004501430057202288			123072
eur	G6PD Variable	1	4.0626625065002604e-06			123072
mid	G6PD Deficient	0	0.0			528
mid	G6PD Indeterminate	0	0.0			528
mid	G6PD Normal	13	0.01231060606060606			528
mid	G6PD Variable	1	0.000946969696969697			528
oth	G6PD Deficient	2	5.1843019337446214e-05			19289
oth	G6PD Indeterminate	0	0.0			19289
oth	G6PD Normal	187	0.004847322308051221			19289
oth	G6PD Variable	2	5.1843019337446214e-05			19289
sas	G6PD Deficient	0	0.0			2342
sas	G6PD Indeterminate	1	0.0002134927412467976			2342
sas	G6PD Normal	15	0.0032023911187019642			2342
sas	G6PD Variable	0	0.0			2342
