biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	SLCO1B1 Decreased Function	5565	0.051581269464629986			53944
afr	SLCO1B1 Increased Function	684	0.006339908052795492			53944
afr	SLCO1B1 Indeterminate	12030	0.11150452320925404			53944
afr	SLCO1B1 Normal Function	34581	0.3205268426516387			53944
afr	SLCO1B1 Poor Function	244	0.0022616046270206138			53944
afr	SLCO1B1 Possible Decreased Function	840	0.00778585199466113			53944
amr	SLCO1B1 Decreased Function	8444	0.10338410304128508			40838
amr	SLCO1B1 Increased Function	755	0.009243841520152798			40838
amr	SLCO1B1 Indeterminate	1167	0.014288162985454723			40838
amr	SLCO1B1 Normal Function	29703	0.36366864195112397			40838
amr	SLCO1B1 Poor Function	663	0.008117439639551399			40838
amr	SLCO1B1 Possible Decreased Function	106	0.0012978108624320487			40838
eas	SLCO1B1 Decreased Function	1171	0.10880877160379111			5381
eas	SLCO1B1 Increased Function	0	0.0			5381
eas	SLCO1B1 Indeterminate	88	0.008176918788329306			5381
eas	SLCO1B1 Normal Function	4009	0.37251440252741125			5381
eas	SLCO1B1 Poor Function	92	0.008548596915071548			5381
eas	SLCO1B1 Possible Decreased Function	21	0.0019513101653967663			5381
eur	SLCO1B1 Decreased Function	31190	0.1267144435777431			123072
eur	SLCO1B1 Increased Function	5495	0.02232433047321893			123072
eur	SLCO1B1 Indeterminate	2300	0.009344123764950599			123072
eur	SLCO1B1 Normal Function	80844	0.328441887675507			123072
eur	SLCO1B1 Poor Function	3190	0.01295989339573583			123072
eur	SLCO1B1 Possible Decreased Function	53	0.00021532111284451377			123072
mid	SLCO1B1 Decreased Function	169	0.16003787878787878			528
mid	SLCO1B1 Increased Function	25	0.023674242424242424			528
mid	SLCO1B1 Indeterminate	30	0.028409090909090908			528
mid	SLCO1B1 Normal Function	284	0.2689393939393939			528
mid	SLCO1B1 Poor Function	18	0.017045454545454544			528
mid	SLCO1B1 Possible Decreased Function	2	0.001893939393939394			528
oth	SLCO1B1 Decreased Function	4510	0.1169060086059412			19289
oth	SLCO1B1 Increased Function	763	0.01977811187723573			19289
oth	SLCO1B1 Indeterminate	1152	0.02986157913836902			19289
oth	SLCO1B1 Normal Function	12295	0.3187049613769506			19289
oth	SLCO1B1 Poor Function	456	0.011820208408937737			19289
oth	SLCO1B1 Possible Decreased Function	113	0.002929130592565711			19289
sas	SLCO1B1 Decreased Function	209	0.0446199829205807			2342
sas	SLCO1B1 Increased Function	8	0.0017079419299743809			2342
sas	SLCO1B1 Indeterminate	183	0.03906917164816396			2342
sas	SLCO1B1 Normal Function	1931	0.4122544833475662			2342
sas	SLCO1B1 Poor Function	10	0.002134927412467976			2342
sas	SLCO1B1 Possible Decreased Function	1	0.0002134927412467976			2342
