biogeographic_group	phenotype	n_phenotype	frequencies	in_cpic	notes	n_subjects_genotyped
afr	UGT1A1 Indeterminate	46	0.00042636808542191904			53944
afr	UGT1A1 Intermediate Metabolizer	26811	0.2485077117010233			53944
afr	UGT1A1 Normal Metabolizer	16136	0.14956250926887144			53944
afr	UGT1A1 Poor Metabolizer	10951	0.10150341094468338			53944
amr	UGT1A1 Indeterminate	17	0.00020813947793721534			40838
amr	UGT1A1 Intermediate Metabolizer	18418	0.22550075909691952			40838
amr	UGT1A1 Normal Metabolizer	17423	0.21331847788824135			40838
amr	UGT1A1 Poor Metabolizer	4980	0.06097262353690191			40838
eas	UGT1A1 Indeterminate	62	0.005761010964504739			5381
eas	UGT1A1 Intermediate Metabolizer	1818	0.16892770860434864			5381
eas	UGT1A1 Normal Metabolizer	2957	0.2747630551942018			5381
eas	UGT1A1 Poor Metabolizer	544	0.050548225236944806			5381
eur	UGT1A1 Indeterminate	19	7.719058762350493e-05			123072
eur	UGT1A1 Intermediate Metabolizer	54409	0.22104540431617264			123072
eur	UGT1A1 Normal Metabolizer	55401	0.2250755655226209			123072
eur	UGT1A1 Poor Metabolizer	13243	0.05380183957358294			123072
mid	UGT1A1 Indeterminate	0	0.0			528
mid	UGT1A1 Intermediate Metabolizer	232	0.2196969696969697			528
mid	UGT1A1 Normal Metabolizer	226	0.21401515151515152			528
mid	UGT1A1 Poor Metabolizer	70	0.06628787878787878			528
oth	UGT1A1 Indeterminate	28	0.000725802270724247			19289
oth	UGT1A1 Intermediate Metabolizer	8783	0.22766861942039504			19289
oth	UGT1A1 Normal Metabolizer	7803	0.2022655399450464			19289
oth	UGT1A1 Poor Metabolizer	2675	0.06934003836383432			19289
sas	UGT1A1 Indeterminate	5	0.001067463706233988			2342
sas	UGT1A1 Intermediate Metabolizer	1181	0.25213492741246796			2342
sas	UGT1A1 Normal Metabolizer	682	0.14560204953031597			2342
sas	UGT1A1 Poor Metabolizer	474	0.10119555935098207			2342
